0.000000000000000000e+00 1.800734000000000057e+00 1.799560000000000048e+00 1.799960000000000004e+00 1.800219000000000014e+00 1.799315999999999915e+00 1.798310999999999993e+00
1.026133774774826968e+01 1.802205999999999975e+00 1.800632000000000010e+00 1.800615999999999994e+00 1.800338999999999912e+00 1.799328999999999956e+00 1.798232000000000053e+00
2.052267549549653936e+01 1.803725000000000023e+00 1.801482000000000028e+00 1.801013999999999893e+00 1.800599999999999978e+00 1.799260000000000081e+00 1.798062000000000049e+00
3.078401324324480726e+01 1.805190000000000072e+00 1.802418999999999993e+00 1.801363999999999965e+00 1.800640000000000018e+00 1.799163999999999985e+00 1.797906999999999922e+00
4.104535099099307871e+01 1.806750999999999996e+00 1.803126000000000007e+00 1.801652999999999949e+00 1.800607999999999986e+00 1.799004000000000048e+00 1.797692000000000068e+00
5.130668873874135016e+01 1.807925999999999922e+00 1.803569999999999895e+00 1.801739999999999897e+00 1.800475000000000048e+00 1.798782000000000103e+00 1.797420999999999935e+00
6.156802648648961451e+01 1.808661000000000074e+00 1.803792999999999980e+00 1.801646999999999998e+00 1.800264000000000086e+00 1.798515000000000086e+00 1.797083999999999904e+00
7.182936423423788597e+01 1.809126999999999930e+00 1.803738999999999981e+00 1.801449999999999996e+00 1.799959000000000087e+00 1.798243000000000036e+00 1.796694000000000013e+00
8.209070198198615742e+01 1.808891000000000027e+00 1.803331999999999935e+00 1.801148999999999889e+00 1.799471000000000043e+00 1.797987000000000002e+00 1.796281999999999934e+00
9.235203972973442887e+01 1.807592000000000088e+00 1.802599000000000062e+00 1.800751999999999908e+00 1.798963000000000090e+00 1.797542999999999891e+00 1.795882999999999896e+00
1.026133774774827003e+02 1.805530000000000079e+00 1.801736999999999922e+00 1.800059999999999993e+00 1.798383000000000065e+00 1.797048999999999896e+00 1.795430000000000081e+00
1.128747152252309718e+02 1.802778999999999909e+00 1.800521000000000038e+00 1.799228999999999967e+00 1.797633000000000036e+00 1.796445999999999987e+00 1.794987000000000110e+00
1.231360529729792290e+02 1.799962000000000062e+00 1.799147000000000052e+00 1.798203999999999914e+00 1.796850000000000058e+00 1.795735999999999999e+00 1.794453000000000076e+00
